Name,Status,Launch Service Provider,Rocket,Mission,Net,Pad
Delta IV Heavy | NROL-68,Launch Successful,United Launch Alliance,Delta IV Heavy,NROL-68,06/22/2023 5:18 a.m.,"Space Launch Complex 37B | Cape Canaveral, FL, USA"
Falcon 9 Block 5 | Starlink Group 5-12,Launch Successful,SpaceX,Falcon 9,Starlink Group 5-12,06/23/2023 11:35 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA"
Soyuz 2.1b/Fregat-M | Meteor-M No.2-3 & others,Launch Successful,Russian Federal Space Agency (ROSCOSMOS),Soyuz 2.1b/Fregat-M,Meteor-M No.2-3 & others,06/27/2023 7:34 a.m.,"Cosmodrome Site 1S | Vostochny Cosmodrome, Siberia, Russian Federation"
SpaceShipTwo | Galactic 01,Launch Successful,Virgin Galactic,SpaceShipTwo,Galactic 01,06/29/2023 11:28 a.m.,Spaceport America | Air launch to Suborbital flight
Falcon 9 Block 5 | Euclid,Launch Successful,SpaceX,Falcon 9,Euclid,07/01/2023 11:12 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA"
Ariane 5 ECA+ | Syracuse 4B & Heinrich Hertz (H2Sat),Launch Successful,Arianespace,Ariane 5 ECA+,Syracuse 4B & Heinrich Hertz (H2Sat),07/05/2023 6 p.m.,"Ariane Launch Area 3 | Guiana Space Centre, French Guiana"
Falcon 9 Block 5 | Starlink Group 5-13,Launch Successful,SpaceX,Falcon 9,Starlink Group 5-13,07/07/2023 3:29 p.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA"
Long March 2C/YZ-1S | 2 x SatNet test satellites,Launch Successful,China Aerospace Science and Technology Corporation,Long March 2C/YZ-1S,2 x SatNet test satellites,07/09/2023 7 a.m.,"Launch Area 4 (SLS-2 / 603) | Jiuquan Satellite Launch Center, People's Republic of China"
Falcon 9 Block 5 | Starlink Group 6-5,Launch Successful,SpaceX,Falcon 9,Starlink Group 6-5,07/09/2023 11:58 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA"
Zhuque-2 | Flight 2,Launch Successful,LandSpace,Zhuque-2,Flight 2,07/11/2023 9 p.m.,"Launch Area 96 | Jiuquan Satellite Launch Center, People's Republic of China"
LVM-3 | Chandrayaan-3,Launch Successful,Indian Space Research Organization,LVM-3 (GSLV Mk III),Chandrayaan-3,07/14/2023 5:05 a.m.,"Satish Dhawan Space Centre Second Launch Pad | Satish Dhawan Space Centre, India"
Falcon 9 Block 5 | Starlink Group 5-15,Launch Successful,SpaceX,Falcon 9,Starlink Group 5-15,07/15/2023 11:50 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA"
Electron | Baby Come Back,Launch Successful,Rocket Lab,Electron,Baby Come Back,07/17/2023 9:27 p.m.,"Rocket Lab Launch Complex 1B | Onenui Station, Mahia Peninsula, New Zealand"
Kuaizhou-1A | Tianmu-1 07-10,Launch Successful,ExPace,Kuaizhou,Tianmu-1 07-10,07/19/2023 11:20 p.m.,"Launch Area 95A | Jiuquan Satellite Launch Center, People's Republic of China"
Falcon 9 Block 5 | Starlink Group 6-15,Launch Successful,SpaceX,Falcon 9,Starlink Group 6-15,07/20/2023 12:09 a.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA"
Ceres-1 | Qiankun-1 & Xingshidai‐16,Launch Successful,Galactic Energy,Ceres-1,Qiankun-1 & Xingshidai‐16,07/22/2023 1:07 a.m.,"Launch Area 95A | Jiuquan Satellite Launch Center, People's Republic of China"
Long March 2D | Skysight AS-01 to 03 & Lingxi-03,Launch Successful,China Aerospace Science and Technology Corporation,Long March 2D,Skysight AS-01 to 03 & Lingxi-03,07/22/2023 10:50 p.m.,"Launch Complex 9 | Taiyuan Satellite Launch Center, People's Republic of China"
Falcon 9 Block 5 | Starlink Group 6-6,Launch Successful,SpaceX,Falcon 9,Starlink Group 6-6,07/23/2023 8:50 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA"
Long March 2D | Yaogan 36 Group 05,Launch Successful,China Aerospace Science and Technology Corporation,Long March 2D,Yaogan 36 Group 05,07/26/2023 4:02 p.m.,"Launch Complex 3 (LC-3/LA-1) | Xichang Satellite Launch Center, People's Republic of China"
Falcon 9 Block 5 | Starlink Group 6-7,Launch Successful,SpaceX,Falcon 9,Starlink Group 6-7,07/28/2023 12:01 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA"
Falcon Heavy | EchoStar 24/Jupiter-3,Launch Successful,SpaceX,Falcon Heavy,EchoStar 24/Jupiter-3,07/28/2023 11:04 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA"
PSLV-CA | DS-SAR,Launch Successful,Indian Space Research Organization,PSLV,DS-SAR,07/29/2023 9:01 p.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India"
Antares 230+ | Cygnus CRS-2 NG-19 (S.S. Laurel Clark),Launch Successful,Northrop Grumman Space Systems,Antares 230+,Cygnus CRS-2 NG-19 (S.S. Laurel Clark),08/01/2023 8:31 p.m.,"Launch Area 0 A | Wallops Island, Virginia, USA"
Long March 4C | Fengyun-3F,Launch Successful,China Aerospace Science and Technology Corporation,Long March 4C,Fengyun-3F,08/02/2023 11:47 p.m.,"Launch Area 4 (SLS-2 / 603) | Jiuquan Satellite Launch Center, People's Republic of China"
